出来	103	106	100	104	313
出生	100	100	100	101	301
出轨	104	103	100	100	307
出面	100	101	100	100	301
分	101	100	100	100	301
分享	102	100	100	100	302
分明	101	100	100	100	301
划不来	101	100	100	100	301
划算	101	100	100	100	301
列车运行	100	101	100	100	301
刚	100	100	101	101	302
刚刚	100	100	101	100	301
刚好	100	100	100	101	301
刚翻	100	100	100	101	301
初中	100	101	101	101	303
初二	101	100	100	100	301
判他	100	100	100	101	301
判刑	100	101	100	100	301
利息	100	101	100	101	302
利用	100	101	100	100	301
别	101	101	103	102	307
别人	100	101	100	101	302
别的	100	100	100	102	302
到	105	101	101	106	313
到位	101	100	100	100	301
到底	102	100	101	101	304
到手	100	100	100	101	301
到时候	101	100	100	100	301
制度	101	100	100	100	301
制裁	100	100	101	100	301
制造	100	100	100	101	301
刺扎	101	100	100	100	301
刺激	101	100	100	100	301
剁	101	100	100	100	301
前	101	100	100	100	301
前列腺	101	101	100	100	302
前列腺炎	103	101	101	100	305
前女友	100	100	100	101	301
前所未有	101	100	100	100	301
前能	100	101	100	100	301
剐	100	100	100	101	301
剑侠情缘	101	100	100	100	301
剧情	101	100	100	100	301
剧本	101	100	100	100	301
剩菜	100	100	100	101	301
剩饭	100	100	100	101	301
剪辑	101	100	100	100	301
力大无穷	101	100	100	100	301
力量	100	101	100	100	301
办事	100	101	100	100	301
办法	101	100	100	100	301
功能	101	100	100	100	301
加油	101	100	100	100	301
动力	100	100	100	101	301
动画片	100	100	101	100	301
劳资	101	100	100	100	301
勃起	100	101	100	100	301
勇气	100	100	100	101	301
勉勉强强	100	100	100	101	301
勿	101	100	100	100	301
包夜	101	100	100	100	301
包括	101	100	100	100	301
北京	100	101	100	100	301
区	100	100	100	101	301
区别	100	102	100	100	302
医生	100	102	101	100	303
医疗费	100	100	100	101	301
十年	100	101	100	100	301
十次	102	100	100	100	302
千年	101	100	100	100	301
半夜	101	100	102	100	303
半山腰	102	100	100	100	302
半途而废	101	100	100	100	301
华人	100	100	100	101	301
华港	100	100	100	101	301
单挑	100	100	100	101	301
单机	101	100	100	100	301
单身	100	101	100	100	301
卖	100	100	100	101	301
卖淫	100	101	100	100	301
南京	100	100	100	103	303
南蒲	101	100	100	100	301
博	100	101	100	100	301
占用	100	101	100	100	301
卡片	102	103	101	100	306
卧	100	101	100	100	301
卧槽	100	100	101	100	301
印	100	100	102	100	302
危及	100	100	100	101	301
危害	100	100	100	101	301
即使	100	102	100	100	302
即便	100	100	100	101	301
却	100	104	101	104	309
卸	101	100	100	100	301
卸载	100	101	101	100	302
历史	100	100	101	100	301
厉声	101	100	100	100	301
厉害	102	101	101	101	305
压力	101	100	100	100	301
原因	100	100	100	104	304
原型	100	100	100	101	301
原来	100	100	101	100	301
原谅	100	100	101	100	301
厨师	101	100	100	100	301
去	105	105	102	107	319
去年	101	100	100	100	301
去掉	101	100	100	100	301
去死吧	100	101	100	100	301
去过	101	100	100	100	301
参与	100	100	100	101	301
又	106	103	101	104	314
双头	100	100	100	101	301
反咬	100	100	100	101	301
反正	100	101	100	100	301
发出	100	100	101	100	301
发卡	100	101	100	100	301
发现	101	100	100	101	302
发生	100	100	100	103	303
发财	101	100	100	100	301
